,age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,cons.conf.idx,euribor3m,y
67,24.0,8,3,4,0,0,0,0,6,3,150,1.0,999,0,3,-40.8,1.26,1
68,44.0,10,1,6,0,0,0,0,5,4,569,1.0,999,1,1,-46.2,1.327,1
69,32.0,10,2,6,0,1,0,1,6,2,67,10.0,999,0,3,-41.8,4.864,1
70,29.0,1,3,4,0,1,0,1,11,1,207,1.0,6,1,2,-50.8,1.05,1
71,43.0,5,2,7,0,0,0,0,11,2,188,1.0,999,0,3,-42.0,4.153,1
72,58.0,8,2,4,2,1,1,1,6,5,136,13.0,999,0,3,-41.8,4.967,1
73,40.0,10,2,4,0,0,0,0,8,1,304,3.0,999,0,3,-36.1,4.963,1
74,26.0,8,3,4,0,0,0,0,7,4,770,2.0,999,0,3,-42.7,4.958,1
75,57.0,5,2,7,0,0,0,0,9,5,277,2.0,6,2,2,-37.5,0.883,0
76,38.0,1,2,7,0,1,0,0,7,2,422,1.0,999,0,3,-33.6,1.044,1
77,48.0,1,2,7,0,1,0,0,11,3,517,2.0,999,1,1,-42.0,4.12,1
78,54.0,5,2,2,0,1,0,0,5,1,54,1.0,999,0,3,-46.2,1.299,1
79,30.0,2,1,3,0,1,0,1,5,3,211,1.0,999,0,3,-36.4,4.859,1
80,33.0,8,2,4,0,1,0,1,6,4,124,2.0,999,0,3,-41.8,4.866,1
81,30.0,5,2,7,0,1,0,1,7,3,90,2.0,999,0,3,-42.7,4.963,1
82,45.0,2,2,1,0,1,0,0,8,2,198,1.0,999,0,3,-36.1,4.968,1
83,23.0,10,3,4,0,1,0,0,5,5,16,5.0,999,1,1,-46.2,1.25,1
84,33.0,1,2,4,0,1,0,0,7,5,80,2.0,999,0,3,-42.7,4.963,1
85,33.0,11,2,7,0,1,0,0,8,5,59,2.0,999,0,3,-36.1,4.963,1
86,57.0,6,2,1,0,1,0,0,11,3,295,1.0,3,2,2,-30.1,0.716,1
87,36.0,5,2,7,2,0,0,0,8,2,504,2.0,999,0,3,-36.1,4.963,1
88,40.0,2,2,2,0,1,0,0,11,3,1057,1.0,999,0,3,-42.0,4.12,0
89,63.0,6,2,8,0,0,0,1,4,3,185,1.0,999,0,3,-47.1,1.445,1
90,39.0,2,1,8,0,0,0,1,5,3,302,10.0,999,0,3,-36.4,4.859,1
91,48.0,1,2,4,0,0,0,1,5,1,125,2.0,999,0,3,-36.4,4.857,1
92,26.0,1,3,4,0,1,0,1,5,1,195,2.0,999,0,3,-36.4,4.857,1
93,45.0,2,2,1,2,0,1,1,6,2,65,2.0,999,0,3,-41.8,4.961,1
94,45.0,2,1,3,0,1,0,1,6,4,542,3.0,999,0,3,-41.8,4.958,1
95,54.0,2,2,1,0,1,1,0,8,1,484,3.0,999,0,3,-36.1,4.965,1
96,42.0,10,2,4,2,0,0,0,7,3,252,2.0,999,0,3,-42.7,4.957,1
97,50.0,3,2,3,0,1,0,1,6,4,119,1.0,999,0,3,-41.8,4.958,1
98,37.0,3,2,3,0,0,0,0,5,1,277,1.0,9,1,2,-46.2,1.299,1
99,26.0,7,3,7,0,1,0,0,8,1,102,2.0,999,1,1,-31.4,0.821,1
100,50.0,7,2,7,0,1,0,0,8,2,123,1.0,999,0,3,-36.1,4.966,1
101,38.0,1,2,4,0,0,0,1,5,2,213,3.0,999,0,3,-36.4,4.856,1
102,47.0,4,3,1,0,0,0,1,6,2,241,1.0,999,0,3,-41.8,4.961,1
103,45.0,1,1,7,0,0,1,0,5,1,63,1.0,999,0,3,-46.2,1.244,1
104,44.0,5,1,3,2,1,0,1,6,1,73,2.0,999,0,3,-41.8,4.96,1
105,37.0,11,3,7,0,1,0,1,11,4,76,3.0,999,0,3,-42.0,4.076,1
106,46.0,7,2,3,2,0,0,1,6,4,49,1.0,999,0,3,-41.8,4.866,1
107,46.0,4,2,4,0,1,0,1,8,1,130,1.0,999,0,3,-36.1,4.97,1
108,41.0,10,2,6,0,1,0,0,11,5,82,5.0,5,1,2,-42.0,4.021,1
109,41.0,2,3,3,0,1,1,0,5,3,366,1.0,999,0,3,-46.2,1.334,1
110,32.0,1,3,4,0,1,0,0,5,1,148,2.0,999,0,3,-46.2,1.299,1
111,50.0,8,2,4,0,1,0,0,11,2,129,1.0,999,1,1,-42.0,4.153,1
112,46.0,1,2,7,2,0,0,1,6,1,230,3.0,999,0,3,-41.8,4.865,1
113,49.0,2,3,1,0,0,0,1,6,1,47,1.0,999,0,3,-41.8,4.961,1
114,57.0,8,2,4,2,1,0,0,5,3,76,7.0,1,2,2,-46.2,1.281,1
115,39.0,2,2,1,2,1,0,1,6,3,125,3.0,999,0,3,-41.8,4.959,1
116,33.0,10,2,6,2,1,0,0,8,2,30,14.0,999,0,3,-36.1,4.965,1
117,36.0,2,2,3,0,1,0,1,5,5,31,6.0,999,0,3,-36.4,4.864,1
118,37.0,1,2,7,0,1,0,0,11,5,281,1.0,999,0,3,-50.8,1.028,0
119,27.0,8,3,4,0,1,1,0,3,2,384,1.0,9,2,1,-34.8,0.646,1
120,35.0,10,2,2,0,1,1,1,6,4,344,1.0,999,0,3,-41.8,4.958,1
121,35.0,10,2,6,0,0,1,0,7,4,15,23.0,999,0,3,-42.7,4.968,1
122,31.0,10,3,4,2,0,0,0,8,3,104,5.0,999,0,3,-36.1,4.965,1
123,51.0,1,2,4,0,0,1,0,11,2,118,2.0,999,1,1,-42.0,4.153,1
124,31.0,2,3,4,0,1,0,0,6,2,160,1.0,999,0,3,-40.8,1.099,1
125,53.0,10,2,4,0,0,1,1,5,1,119,2.0,999,0,3,-36.4,4.858,1
126,58.0,6,2,6,0,0,0,0,11,1,318,1.0,999,0,3,-42.0,4.191,1
127,41.0,7,2,6,0,1,0,0,8,1,323,1.0,999,0,3,-36.1,4.965,1
128,44.0,3,2,7,0,1,1,0,5,4,91,1.0,999,0,3,-46.2,1.266,1
129,60.0,7,2,7,0,0,0,0,8,4,124,1.0,999,0,3,-36.1,4.963,1
130,26.0,1,2,4,0,0,0,0,7,4,991,5.0,999,0,3,-42.7,4.958,0
131,41.0,5,1,2,0,1,0,0,11,4,167,1.0,999,0,3,-42.0,4.076,1
132,44.0,2,2,3,0,1,0,0,5,5,383,1.0,999,1,1,-46.2,1.313,1
133,39.0,2,2,7,0,1,0,0,7,4,288,1.0,999,0,3,-42.7,4.963,1
134,48.0,6,1,6,0,0,0,1,5,5,219,2.0,999,0,3,-36.4,4.857,1
135,40.0,1,3,7,0,0,0,1,5,3,244,3.0,999,0,3,-36.4,4.857,1
136,36.0,1,1,7,0,1,0,0,8,3,161,2.0,999,0,3,-31.4,0.879,1
137,46.0,4,2,1,2,1,0,0,7,1,31,20.0,999,0,3,-42.7,4.96,1
138,32.0,8,3,3,0,0,1,1,6,4,139,1.0,999,0,3,-41.8,4.866,1
139,37.0,8,2,4,2,0,0,1,5,3,112,1.0,999,0,3,-36.4,4.858,1
140,51.0,1,2,7,0,1,0,0,8,4,238,2.0,999,0,3,-36.1,4.963,1
141,30.0,8,3,4,0,1,0,0,4,3,247,2.0,999,0,3,-47.1,1.498,1
142,31.0,2,2,3,0,1,0,0,4,4,257,2.0,999,1,1,-47.1,1.41,1
143,55.0,2,2,3,2,1,0,0,8,1,304,4.0,999,0,3,-36.1,4.965,1
144,45.0,10,2,7,0,1,0,1,6,2,189,1.0,999,0,3,-41.8,4.961,1
145,33.0,4,3,7,2,1,0,0,8,3,46,3.0,999,0,3,-36.1,4.967,1
146,38.0,2,3,3,0,1,0,1,5,2,2231,1.0,999,0,3,-36.4,4.856,0
147,28.0,7,3,7,0,1,0,1,3,3,152,1.0,999,1,1,-34.8,0.651,1
148,38.0,11,2,2,0,0,0,1,6,1,947,4.0,999,0,3,-41.8,4.865,0
149,42.0,2,2,3,0,0,0,0,5,2,80,1.0,999,1,1,-46.2,1.344,1
150,49.0,1,1,7,0,1,0,0,9,5,283,3.0,3,1,2,-29.8,0.773,0
151,43.0,10,2,6,2,1,0,1,7,4,193,7.0,999,0,3,-42.7,4.962,1
152,47.0,2,2,2,0,1,1,0,7,1,298,3.0,999,0,3,-42.7,4.962,1
153,31.0,10,2,6,0,1,0,0,8,1,50,10.0,999,0,3,-36.1,4.965,1
154,56.0,2,2,1,0,1,1,1,6,4,36,2.0,999,0,3,-41.8,4.866,1
155,32.0,3,2,7,0,1,1,1,11,1,249,1.0,999,1,1,-42.0,4.191,1
156,27.0,10,3,7,0,1,0,0,5,4,43,8.0,999,0,3,-46.2,1.266,1
157,45.0,8,1,3,0,0,0,0,4,1,231,1.0,999,0,3,-47.1,1.405,1
158,57.0,6,2,8,2,0,0,1,5,2,205,8.0,999,0,3,-36.4,4.857,1
159,34.0,1,3,4,0,1,0,0,5,5,217,6.0,999,1,1,-46.2,1.25,1
160,56.0,3,2,7,0,0,0,0,4,4,85,1.0,999,0,3,-47.1,1.365,1
161,50.0,1,3,3,0,1,0,0,6,3,343,1.0,999,0,3,-40.8,1.26,1
162,58.0,10,2,6,2,0,0,1,6,5,18,2.0,999,0,3,-41.8,4.959,1
163,64.0,6,2,3,0,1,0,0,8,1,79,2.0,3,1,2,-31.4,0.843,1
164,30.0,10,3,7,0,1,1,0,7,3,63,1.0,999,0,3,-42.7,4.962,1
165,25.0,2,3,4,0,0,0,0,5,5,1068,3.0,999,0,3,-46.2,1.25,0
166,23.0,9,3,4,0,0,0,0,4,1,400,2.0,999,0,3,-47.1,1.405,1
167,45.0,2,2,3,0,1,0,0,5,1,54,2.0,999,0,3,-46.2,1.354,1
168,54.0,1,1,8,2,0,0,1,6,3,38,2.0,999,0,3,-41.8,4.864,1
169,46.0,1,2,4,0,0,0,0,11,1,141,1.0,999,0,3,-42.0,4.191,1
170,25.0,2,3,3,0,0,1,0,7,5,667,1.0,999,0,3,-40.3,0.79,0
171,39.0,4,2,1,0,1,0,1,5,2,54,2.0,999,0,3,-36.4,4.856,1
172,24.0,9,3,7,0,1,0,0,5,3,79,1.0,999,0,3,-46.2,1.281,1
173,40.0,8,3,4,0,1,0,1,5,3,44,1.0,999,0,3,-36.4,4.859,1
174,39.0,1,1,7,0,0,0,0,8,1,125,2.0,999,0,3,-36.1,4.965,1
175,38.0,10,3,6,0,1,0,0,11,1,68,1.0,999,0,3,-42.0,4.191,1
176,52.0,1,1,7,0,1,1,0,5,4,414,3.0,999,0,3,-46.2,1.27,1
177,57.0,1,2,7,2,0,0,0,8,3,104,5.0,999,0,3,-36.1,4.964,1
178,31.0,10,3,7,0,1,0,1,3,5,228,2.0,999,0,3,-50.0,1.531,0
179,46.0,2,2,3,2,0,0,1,6,4,162,2.0,999,0,3,-41.8,4.866,1
180,51.0,1,2,7,2,1,0,0,8,2,147,2.0,999,0,3,-36.1,4.968,1
181,26.0,9,3,4,2,0,0,0,5,2,176,2.0,999,1,1,-46.2,1.344,1
182,35.0,4,1,3,0,1,0,0,11,3,69,1.0,999,0,3,-42.0,4.12,1
183,42.0,3,3,7,0,0,0,0,7,1,49,2.0,999,0,3,-42.7,4.962,1
184,28.0,2,3,3,0,0,0,1,5,5,521,2.0,999,0,3,-36.4,4.864,1
185,45.0,1,1,7,0,1,1,0,7,1,340,1.0,999,0,3,-42.7,4.962,1
186,50.0,2,1,3,0,0,0,0,5,5,262,3.0,999,0,3,-46.2,1.313,1
187,29.0,10,3,6,2,0,0,0,11,4,308,1.0,999,0,3,-42.0,4.076,1
188,42.0,1,3,8,2,0,0,1,5,3,126,1.0,999,0,3,-36.4,4.856,1
189,27.0,10,3,3,0,0,0,0,4,3,34,3.0,999,0,3,-47.1,1.445,1
190,25.0,2,3,3,0,0,1,0,7,4,151,2.0,999,0,3,-42.7,4.962,1
191,56.0,10,2,1,0,1,0,1,5,1,137,1.0,999,0,3,-36.4,4.857,1
192,38.0,10,2,6,0,0,0,0,5,2,371,2.0,999,0,3,-46.2,1.344,1
193,50.0,2,2,1,2,0,0,1,5,5,574,1.0,999,0,3,-36.4,4.864,1
194,34.0,2,2,3,0,0,0,1,5,1,263,1.0,999,0,3,-36.4,4.858,1
195,29.0,2,1,1,0,1,0,0,5,5,1223,3.0,999,1,1,-46.2,1.25,1
196,36.0,1,3,7,2,1,1,0,8,1,134,1.0,999,0,3,-36.1,4.963,1
197,51.0,1,2,7,0,0,0,0,8,4,335,1.0,999,0,3,-36.1,4.963,1
198,34.0,8,1,2,2,2,2,0,5,3,136,2.0,999,0,3,-46.2,1.281,1
199,37.0,10,2,7,0,1,0,0,5,1,288,1.0,3,1,2,-46.2,1.264,0
200,40.0,8,2,4,0,0,0,0,5,3,246,4.0,999,1,1,-46.2,1.334,1
201,48.0,1,1,4,0,0,1,1,5,2,284,2.0,999,0,3,-36.4,4.856,1
202,36.0,2,3,4,0,1,1,1,5,1,260,1.0,999,0,3,-36.4,4.858,1
203,51.0,5,2,7,0,0,0,0,5,5,203,2.0,999,0,3,-46.2,1.313,1
204,45.0,8,2,4,0,0,0,1,5,5,182,1.0,999,0,3,-36.4,4.855,1
205,30.0,8,3,8,0,0,1,1,5,5,154,1.0,999,0,3,-36.4,4.857,1
206,51.0,4,2,1,2,0,1,0,8,4,126,1.0,999,0,3,-36.1,4.968,1
207,36.0,1,3,8,0,1,0,0,3,4,231,1.0,999,0,3,-34.8,0.635,1
208,43.0,8,2,4,0,0,0,0,7,1,337,1.0,999,0,3,-42.7,4.962,1
209,36.0,2,2,3,2,1,0,0,7,4,387,1.0,999,0,3,-42.7,4.963,1
210,54.0,8,3,3,0,0,1,0,7,4,169,1.0,999,0,3,-42.7,4.962,1
211,49.0,3,2,7,0,0,0,0,7,2,114,3.0,999,0,3,-42.7,4.961,1
212,30.0,2,2,2,2,1,0,1,6,2,482,2.0,999,0,3,-41.8,4.864,0
213,36.0,10,2,4,0,0,0,0,11,3,187,1.0,999,1,1,-42.0,4.12,1
214,45.0,3,1,7,0,0,1,0,7,4,216,1.0,999,0,3,-42.7,4.968,1
215,33.0,5,2,4,0,0,1,1,6,1,117,1.0,999,0,3,-41.8,4.961,1
216,32.0,1,1,7,0,1,0,0,8,1,1080,3.0,999,0,3,-36.1,4.965,0
217,49.0,1,2,7,0,1,1,0,4,2,218,2.0,999,3,1,-34.6,0.644,0
218,37.0,10,2,6,2,0,1,1,6,1,168,1.0,999,0,3,-41.8,4.961,1
219,50.0,2,2,1,2,2,2,1,5,3,21,3.0,999,0,3,-36.4,4.858,1
220,32.0,1,3,7,0,0,0,1,5,5,47,8.0,999,0,3,-36.4,4.864,1
221,57.0,5,2,7,2,0,0,1,5,2,190,3.0,999,0,3,-36.4,4.857,1
222,34.0,1,3,4,0,1,0,1,5,3,78,4.0,999,0,3,-36.4,4.857,1
223,53.0,1,2,7,0,1,0,0,8,1,81,1.0,999,2,1,-31.4,0.821,1
224,37.0,4,2,7,2,1,0,1,5,4,25,11.0,999,0,3,-36.4,4.86,1
225,49.0,3,2,7,0,1,0,1,5,5,142,2.0,999,0,3,-36.4,4.864,1
226,33.0,2,3,3,2,1,0,1,6,2,114,3.0,999,0,3,-41.8,4.864,1
227,58.0,6,2,6,2,1,0,0,8,1,410,4.0,999,0,3,-36.1,4.97,1
228,31.0,1,3,7,0,1,0,0,5,2,374,2.0,999,1,1,-46.2,1.291,1
229,31.0,1,2,7,0,0,1,0,7,1,15,11.0,999,0,3,-42.7,4.96,1
230,39.0,1,2,7,0,1,0,1,6,4,52,1.0,999,1,1,-39.8,0.742,1
231,31.0,1,2,7,0,1,0,0,9,5,232,2.0,13,1,2,-37.5,0.879,0
232,46.0,5,2,7,0,1,0,0,5,4,293,2.0,999,0,3,-46.2,1.327,1
233,47.0,10,1,6,2,1,1,0,8,3,212,9.0,999,0,3,-36.1,4.964,1
234,30.0,10,2,6,0,1,0,0,8,2,297,1.0,999,0,3,-36.1,4.968,1
235,27.0,1,3,7,0,1,0,0,4,5,401,1.0,999,1,1,-47.1,1.405,1
236,31.0,10,2,7,0,0,0,0,8,4,56,2.0,999,0,3,-36.1,4.964,1
237,39.0,2,2,3,2,0,1,0,7,1,51,1.0,999,0,3,-42.7,4.96,1
238,25.0,10,2,7,0,0,0,0,6,1,67,1.0,999,1,1,-40.8,1.266,1
239,28.0,1,2,4,0,0,0,1,6,5,113,3.0,999,0,3,-41.8,4.967,1
240,45.0,10,2,6,0,1,0,1,5,2,350,4.0,999,0,3,-36.4,4.857,1
241,47.0,8,2,4,0,1,0,0,11,2,97,1.0,999,0,3,-42.0,4.153,1
242,31.0,2,2,3,0,0,0,1,6,2,397,2.0,999,0,3,-41.8,4.864,1
243,32.0,4,2,4,0,1,0,1,5,2,100,1.0,999,0,3,-36.4,4.857,1
244,49.0,2,2,1,2,0,0,0,8,4,503,1.0,999,0,3,-36.1,4.964,1
245,28.0,1,3,7,0,1,1,0,4,4,76,1.0,999,0,3,-47.1,1.365,1
246,33.0,2,2,3,0,0,0,1,6,2,281,7.0,999,0,3,-41.8,4.864,1
247,35.0,8,3,3,0,0,0,0,7,5,102,5.0,999,0,3,-42.7,4.962,1
248,32.0,3,2,1,0,1,0,0,11,3,111,1.0,999,0,3,-42.0,4.12,1
249,53.0,7,2,7,0,0,0,1,5,1,592,2.0,999,0,3,-36.4,4.857,1
250,47.0,4,2,1,2,0,0,0,7,1,71,3.0,999,0,3,-42.7,4.962,1
251,31.0,7,1,7,0,1,0,0,7,4,275,3.0,999,0,3,-42.7,4.958,1
252,34.0,11,3,7,0,1,0,0,4,2,125,1.0,999,0,3,-47.1,1.423,0
253,59.0,6,2,1,0,0,1,1,7,4,22,3.0,999,0,3,-42.7,4.968,1
254,27.0,5,3,7,0,0,0,0,7,4,528,1.0,999,0,3,-42.7,4.962,1
255,31.0,10,1,7,0,0,1,0,8,5,180,1.0,999,0,3,-36.1,4.963,1
256,31.0,11,2,3,0,1,0,1,5,3,43,1.0,999,0,3,-46.2,1.281,1
257,56.0,2,2,3,0,0,0,0,5,4,118,1.0,999,0,3,-46.2,1.327,1
258,56.0,2,2,1,2,0,0,1,5,3,267,2.0,999,0,3,-36.4,4.857,1
259,41.0,4,3,7,0,1,0,0,8,3,116,1.0,999,0,3,-36.1,4.965,1
260,42.0,2,2,3,2,0,0,1,6,2,599,3.0,999,0,3,-41.8,4.864,1
261,59.0,6,2,1,2,0,1,1,6,5,62,3.0,999,0,3,-41.8,4.959,1
262,40.0,8,2,2,2,1,0,1,5,3,260,1.0,999,0,3,-36.4,4.857,1
263,42.0,1,1,4,0,2,2,0,11,1,295,2.0,999,1,1,-42.0,4.191,1
264,45.0,2,2,2,2,1,0,0,8,2,561,2.0,999,0,3,-36.1,4.963,1
265,29.0,4,3,4,0,1,0,1,5,3,178,3.0,999,0,3,-36.4,4.858,1
266,51.0,8,2,4,2,1,1,0,7,5,239,5.0,999,0,3,-42.7,4.962,1
267,37.0,10,3,6,0,1,0,0,8,4,115,1.0,999,0,3,-36.1,4.963,1
268,30.0,11,3,4,0,0,0,0,5,5,13,11.0,999,0,3,-46.2,1.25,1
269,43.0,3,2,1,0,1,0,1,6,2,69,2.0,999,0,3,-41.8,4.864,1
270,42.0,8,3,2,0,1,1,0,5,3,11,8.0,999,0,3,-46.2,1.281,1
271,26.0,2,2,1,0,1,1,1,5,2,144,2.0,999,0,3,-36.4,4.856,1
272,40.0,7,2,7,0,1,0,0,8,4,155,1.0,999,0,3,-36.1,4.964,1
273,51.0,11,2,6,0,0,0,1,5,2,171,3.0,999,0,3,-36.4,4.857,1
274,38.0,1,3,7,0,0,0,0,11,3,79,2.0,999,0,3,-42.0,4.12,1
275,42.0,2,2,2,2,0,0,0,7,1,243,3.0,999,0,3,-42.7,4.962,1
276,35.0,10,2,6,0,1,0,1,8,1,209,1.0,999,0,3,-36.1,4.963,1
277,32.0,1,3,7,0,0,0,0,6,5,462,1.0,999,0,3,-40.8,1.268,0
278,39.0,2,2,1,0,0,0,1,6,3,305,4.0,999,0,3,-41.8,4.958,1
279,36.0,2,3,4,0,0,0,0,7,4,288,1.0,999,0,3,-42.7,4.968,1
280,50.0,3,2,7,0,0,0,1,6,2,424,2.0,999,0,3,-41.8,4.961,1
281,30.0,10,2,6,0,1,0,0,7,1,467,3.0,999,0,3,-42.7,4.962,1
282,52.0,2,2,1,2,0,0,1,5,5,711,1.0,999,0,3,-36.4,4.864,1
283,37.0,11,3,7,0,0,1,0,11,5,104,2.0,999,0,3,-42.0,4.021,1
284,53.0,2,2,2,0,1,1,0,4,1,208,2.0,999,0,3,-47.1,1.405,1
285,47.0,10,1,4,0,0,1,0,7,4,417,5.0,999,0,3,-42.7,4.962,1
286,35.0,10,3,6,0,0,0,0,8,1,148,1.0,999,0,3,-36.1,4.97,1
287,48.0,2,2,3,0,1,0,0,5,2,88,2.0,999,0,3,-46.2,1.344,1
288,43.0,7,2,4,0,0,0,0,11,1,137,3.0,999,1,1,-30.1,0.714,1
289,30.0,1,3,7,0,1,1,0,5,5,191,1.0,999,0,3,-46.2,1.25,1
290,33.0,10,3,7,0,2,2,0,4,4,527,3.0,999,0,3,-47.1,1.435,0
291,39.0,2,2,1,0,0,0,0,5,4,166,3.0,999,1,1,-46.2,1.327,1
292,54.0,4,2,7,0,0,0,0,8,3,77,3.0,999,0,3,-31.4,0.879,1
293,38.0,2,3,4,0,1,0,0,8,1,104,1.0,999,0,3,-36.1,4.97,1
